Department,Contract No,Description,Probable Date
CEDD,CV/2026/01,"B873CL SF M5 Mr. TSE Chit- B874CL Site Formation and Infrastructure Works at 2026年 Group C hei, Jordan Tai Kei Leng and Shap Pat Heung, Yuen 第 2 季 地盤平整 謝哲禧 先生",2026 Q2
CEDD,GE/2026/03,"5001BX LANP M3 Mr. C K SIU Landslip Prevention and Mitigation 2026年 斜坡/ 蕭創基先生 Programme, Kowloon and New Territories 第 2 季 擋土牆的 2762 5469",2026 Q2
CEDD,GE/2026/03,"5001BX LANP M3 Mr. C K SIU Landslip Prevention and Mitigation 2026年 斜坡/ 蕭創基先生 Programme, Kowloon and New Territories 第 2 季 擋土牆的 2762 5469",2026 Q2
CEDD,GE/2026/14,"5001BX GROU M1 Ms. Florence KO Ground Investigation Works for Study of 2026年 Group II 高韻儀女士 Groundwater, Sub-surface Moisture and 第 2季 場地勘探 2762 5369",2026 Q2
CEDD,GE/2026/14,"5001BX GROU M1 Ms. Florence KO Ground Investigation Works for Study of 2026年 Group II 高韻儀女士 Groundwater, Sub-surface Moisture and 第 2季 場地勘探 2762 5369",2026 Q2
CEDD,ND/2025/02,7899CL WW M5 Mr. H. N. San Tin Technopole Phase 1 Stage 1 (West) 2026年 Group C WONG - Contract 2 - Fresh Water and Reclaimed 第2季 水務 黃曦諾先生,2026 Q2
CEDD,ND/2025/02,7899CL WW M5 Mr. H. N. San Tin Technopole Phase 1 Stage 1 (West) 2026年 Group C WONG - Contract 2 - Fresh Water and Reclaimed 第2季 水務 黃曦諾先生,2026 Q2
CEDD,YL/2024/04,7906CL SF M5 Mr. Bernie C.P. Yuen Long South New Development Area 2026 年 Group C CHOI Second Phase Development - Contract 6 - 第 2 季 地盤平整 蔡智鵬先生,2026 Q2
CEDD,YL/2024/04,7906CL SF M5 Mr. Bernie C.P. Yuen Long South New Development Area 2026 年 Group C CHOI Second Phase Development - Contract 6 - 第 2 季 地盤平整 蔡智鵬先生,2026 Q2
CEDD,TBC,7901TH RD M5 Mr. Carl K. S. Road Works for Smart and Green Mass 2026 年 Group C NG Transit System Phase 1 in Hung Shui 第 2 季 道路及渠務 吳國旋先生,2026 Q2
CEDD,TBC,7901TH RD M5 Mr. Carl K. S. Road Works for Smart and Green Mass 2026 年 Group C NG Transit System Phase 1 in Hung Shui 第 2 季 道路及渠務 吳國旋先生,2026 Q2
CEDD,ND/2026/03,7899CL SF M5 Ms. May LAU San Tin Technopole Phase 1 Stage 2 (East) - 2026年 Group C 劉綺媚女士 Contract 3 - Site Formation and Engineering 第3季 地盤平整 3152 3550,2026 Q3
CEDD,ND/2026/03,7899CL SF M5 Ms. May LAU San Tin Technopole Phase 1 Stage 2 (East) - 2026年 Group C 劉綺媚女士 Contract 3 - Site Formation and Engineering 第3季 地盤平整 3152 3550,2026 Q3
CEDD,ND/2026/02,7897CL-2 RD M3 Mr. W C YU Site Formation and Infrastructure Works for 2026 年 Group B 余偉昌先生 the Proposed Food Control Facilities at 第 3 季 道路及渠務 3152 2874,2026 Q3
CEDD,ND/2026/02,7897CL-2 RD M3 Mr. W C YU Site Formation and Infrastructure Works for 2026 年 Group B 余偉昌先生 the Proposed Food Control Facilities at 第 3 季 道路及渠務 3152 2874,2026 Q3
CEDD,ND/2026/,7899CL 03 SF M5 Ms. May LAU San Tin Technopole Phase 1 Stage 2 (East) - 2026年 Group C 劉綺媚女士 Contract 3 - Site Formation and Engineering 第3季 地盤平整 3152 3550,2026 Q3
CEDD,ND/2026/,7899CL 03 SF M5 Ms. May LAU San Tin Technopole Phase 1 Stage 2 (East) - 2026年 Group C 劉綺媚女士 Contract 3 - Site Formation and Engineering 第3季 地盤平整 3152 3550,2026 Q3
CEDD,ND/2026/04,7899CL RD M5 Mr. C. Y. Chan San Tin Technopole Phase 1 Stage 1 (West) 2026年 Group C 陳智鑫先生 - Contract 4 - Site Formation and 第3季 道路及渠務 3152 3500,2026 Q3
CEDD,YL/2025/02,7896TH RD M5 Mr. Ricky W K Development of the Loop – Eastern 2026年 Group C YIU Connection Road 第 3季 道路及渠務 姚偉基先生,2026 Q3
CEDD,YL/2025/02,7896TH RD M5 Mr. Ricky W K Development of the Loop – Eastern 2026年 Group C YIU Connection Road 第 3季 道路及渠務 姚偉基先生,2026 Q3
CEDD,YL/2024/05,7906CL RD M5 Mr. Bernie C.P. Yuen Long South New Development Area 2026 年 Group C CHOI Second Phase Development - Contract 7 - 第 4 季 道路及渠務 蔡智鵬先生,2026 Q4
CEDD,YL/2024/05,7906CL RD M5 Mr. Bernie C.P. Yuen Long South New Development Area 2026 年 Group C CHOI Second Phase Development - Contract 7 - 第 4 季 道路及渠務 蔡智鵬先生,2026 Q4
